customer_id,data_used_gb,calls_made,revenue_inr
1224,9.58,55,316
1225,19.45,77,171
1226,75.56,184,785
1227,35.71,43,250
1228,67.69,183,232
1229,31.45,23,532
1230,15.95,58,500
1231,26.19,42,652
1232,7.82,81,654
1233,5.0,73,820
1234,9.1,157,725
1235,21.96,185,362
1236,27.8,22,712
1237,1.04,56,329
1238,77.51,57,475
1239,60.64,160,467
1240,18.68,39,544
1241,66.35,131,355
1242,25.36,145,399
1243,29.99,48,171
1244,22.87,94,380
1245,18.13,25,196
1246,13.02,51,238
1247,17.55,28,524
1248,52.13,36,348
1249,76.19,130,347
1250,4.77,74,359
1251,15.76,45,212
1252,28.05,97,293
1253,21.22,48,232
1254,65.26,170,318
1255,59.67,145,331
1256,25.56,188,279
1257,30.9,25,243
1258,29.38,12,199
1259,57.59,95,509
1260,17.3,64,231
1261,15.39,76,220
1262,43.0,115,807
1263,72.99,132,190
1264,63.66,182,556
1265,57.78,33,393
1266,13.69,13,123
1267,42.58,153,577
1268,45.07,187,862
1269,13.46,78,261
1270,41.17,32,622
1271,21.72,28,332
1272,14.88,108,584
1273,55.79,191,393
1274,28.74,41,664
1275,42.61,91,630
1276,28.46,138,638
1277,25.67,92,526
1278,1.35,89,240
1279,2.5,21,305
1280,12.33,14,174
1281,35.87,153,468
1282,37.29,175,440
1283,50.41,139,385
1284,31.69,69,752
1285,10.67,95,446
1286,3.09,56,320
1287,75.83,160,454
1288,55.36,98,529
1289,63.57,147,368
1290,50.08,167,570
1291,29.39,82,447
1292,78.53,81,441
1293,29.34,75,235
1294,46.08,175,398
1295,17.11,91,559
1296,20.33,196,567
1297,8.66,19,238
1298,41.23,21,605
1299,16.94,47,301
1300,5.17,64,168
1301,5.99,29,169
1302,11.91,127,558
1303,19.09,75,368
1304,53.12,169,712
1305,32.99,46,577
1306,14.07,57,439
1307,28.47,119,486
1308,49.83,176,463
1309,28.46,35,147
1310,50.92,78,378
1311,75.43,168,588
1312,62.92,119,753
1313,11.83,37,412
1314,1.45,77,210
1315,23.98,183,378
1316,76.82,183,313
1317,25.35,41,361
1318,21.1,185,675
1319,42.35,46,277
1320,10.48,94,451
1321,65.54,130,242
1322,66.29,142,834
1323,13.71,28,217
1324,18.79,50,323
1325,57.57,187,342
1326,19.95,170,439
1327,60.4,66,468
1328,11.32,78,343
1329,23.57,59,368
1330,36.86,81,473
1331,49.78,35,531
1332,11.79,19,164
1333,24.35,28,333
1334,28.05,86,241
1335,12.53,74,476
1336,79.07,27,597
1337,62.81,92,791
1338,24.19,48,363
1339,69.89,116,512
1340,25.93,91,176
1341,23.83,11,266
1342,70.53,142,622
1343,67.52,187,669
1344,16.52,46,326
1345,9.8,117,637
1346,26.93,158,965
1347,6.64,23,716
1348,9.21,73,444
1349,74.53,148,752
1350,21.68,47,542
1351,24.52,57,483
1352,5.65,14,325
1353,54.82,128,257
1354,20.87,44,399
1355,26.69,159,555
1356,38.25,42,380
1357,31.77,82,728
1358,67.14,172,691
1359,7.27,64,213
1360,63.98,129,538
1361,42.92,58,527
1362,26.41,94,392
1363,12.39,44,466
1364,6.62,14,204
1365,26.65,85,385
1366,13.02,95,333
1367,14.32,96,423
1368,59.14,135,528
1369,4.41,26,264
1370,26.03,15,391
1371,15.93,31,172
1372,11.01,41,590
1373,71.12,141,615
1374,19.4,45,486
1375,16.06,37,324
1376,23.4,66,523
1377,7.79,24,289
1378,28.84,81,411
1379,46.77,194,211
1380,13.44,28,438
1381,57.23,194,818
1382,20.28,117,605
1383,70.29,181,843
1384,16.44,86,304
1385,50.42,83,456
1386,30.29,147,578
1387,56.91,90,262
1388,12.36,58,553
1389,6.93,58,378
1390,36.45,81,356
1391,69.3,150,349
1392,52.13,179,700
1393,24.0,44,374
1394,59.26,139,651
1395,25.25,95,212
1396,6.9,60,389
1397,64.37,176,322
1398,66.54,188,321
1399,15.05,20,453
1400,35.73,76,959
1401,27.15,57,275
1402,2.94,31,320
1403,34.21,123,726
1404,25.59,66,358
1405,3.15,75,268
1406,65.29,98,531
1407,79.79,142,561
1408,7.38,63,368
1409,50.63,81,854
1410,14.46,84,405
1411,11.15,39,293
1412,54.63,68,709
1413,5.4,143,854
1414,4.01,57,458
1415,17.85,82,329
1416,23.68,54,372
1417,65.23,77,474
1418,55.34,63,193
1419,12.21,18,546
1420,71.78,176,493
1421,73.12,150,661
1422,19.97,45,152
1423,5.54,51,298
1424,21.78,63,100
1425,20.17,78,453
1426,23.11,149,390
1427,26.19,19,264
1428,22.63,89,179
1429,48.85,197,917
1430,38.29,42,322
1431,76.89,132,386
1432,46.2,185,513
1433,52.73,148,722
1434,66.94,168,471
1435,25.88,174,754
1436,24.89,83,376
1437,24.63,13,140
1438,29.52,97,348
1439,63.02,103,487
1440,13.54,10,441
1441,8.53,79,257
1442,70.94,182,785
1443,17.16,55,401
1444,63.78,75,741
1445,26.76,38,457
1446,29.89,27,409
1447,61.1,144,647
1448,12.12,39,322
1449,29.5,50,727
1450,24.39,83,393
1451,79.82,182,552
1452,2.17,22,178
1453,77.09,168,541
1454,17.42,57,215
1455,1.46,40,415
1456,51.78,119,741
1457,4.85,67,281
1458,28.21,78,440
1459,12.67,92,100
1460,10.2,48,502
1461,22.26,75,202
1462,15.38,172,746
1463,17.52,96,502
1464,33.43,47,458
1465,19.36,14,292
1466,38.23,69,751
1467,69.58,189,319
1468,18.2,84,171
1469,14.19,27,336
1470,55.81,139,673
1471,5.85,14,303
1472,56.82,108,524
1473,8.98,92,224
1474,52.7,23,745
1475,6.2,85,319
1476,14.2,56,256
1477,28.51,59,447
1478,20.88,42,165
1479,5.97,88,359
1480,14.19,29,273
1481,16.54,65,353
1482,35.14,85,625
1483,67.53,85,840
1484,3.28,84,483
1485,12.12,62,429
1486,57.7,48,275
1487,22.31,147,476
1488,71.07,163,498
1489,20.11,16,231
1490,78.21,195,871
1491,22.39,97,446
1492,29.92,93,315
1493,72.3,138,583
1494,14.49,29,401
1495,2.94,21,335
1496,20.41,51,288
1497,27.95,30,377
1498,10.33,127,756
1499,7.65,29,284
1500,25.14,157,387
1501,5.86,93,449
1502,29.57,49,302
1503,37.98,75,736
1504,24.15,73,420
1505,21.48,75,808
1506,24.97,37,105
1507,11.26,22,343
1508,20.79,105,310
1509,5.26,73,378
1510,26.08,96,189
1511,41.34,138,518
1512,17.34,71,230
1513,14.88,19,332
1514,9.81,33,233
1515,1.09,69,242
1516,70.66,84,394
1517,21.74,62,235
1518,11.55,31,498
1519,11.06,27,530
1520,79.38,164,346
1521,19.94,82,884
1522,17.31,41,247
1523,75.53,101,264
1524,22.51,72,388
1525,41.24,90,736
1526,35.51,58,835
1527,36.21,81,757
1528,26.81,15,279
1529,48.45,109,428
1530,53.36,151,213
1531,74.92,96,737
1532,25.96,185,813
1533,18.9,175,801
1534,6.3,89,386
1535,50.29,185,881
1536,46.91,81,900
1537,63.92,51,612
1538,28.23,68,209
1539,46.76,50,528
1540,64.69,71,647
1541,1.73,40,124
1542,23.73,169,467
1543,1.02,51,413
1544,9.01,100,756
1545,8.7,10,380
1546,19.96,171,333
1547,7.88,32,429
1548,50.75,78,466
1549,27.34,48,346
1550,62.04,35,422
1551,15.13,91,438
1552,57.81,32,418
1553,11.9,91,267
1554,55.58,113,422
1555,8.41,100,643
1556,7.58,24,447
1557,43.24,72,654
1558,7.62,180,697
1559,13.71,63,257
1560,17.05,94,363
1561,7.25,41,100
1562,14.5,87,335
1563,6.49,36,552
1564,57.17,126,806
1565,34.41,158,541
1566,4.64,26,539
1567,46.73,104,910
1568,27.95,15,273
1569,2.92,46,426
1570,37.33,196,402
1571,11.01,58,383
1572,28.88,72,398
1573,28.06,37,100
1574,54.0,47,828
1575,51.47,56,790
1576,15.68,95,475
1577,26.12,77,606
1578,1.3,41,251
1579,11.06,69,244
1580,28.39,118,821
1581,10.08,37,255
1582,3.58,57,129
1583,45.58,133,641
1584,19.89,174,849
1585,23.0,95,620
1586,16.29,161,710
1587,27.48,76,450
1588,40.32,92,217
1589,19.78,19,298
1590,27.07,46,679
1591,1.2,85,528
1592,54.76,45,622
1593,35.18,114,637
1594,26.97,96,413
1595,10.1,64,167
1596,8.88,98,468
1597,18.85,141,499
1598,13.47,58,277
1599,13.99,135,636
1600,20.78,61,442
1601,52.42,140,767
1602,46.0,132,515
1603,30.8,66,447
1604,48.61,168,745
1605,54.28,59,408
1606,29.51,80,608
1607,4.03,62,319
1608,32.12,121,414
1609,7.56,68,221
1610,22.43,69,327
1611,20.1,85,522
1612,17.94,142,767
1613,9.59,70,375
1614,66.41,141,794
1615,24.48,181,376
1616,8.96,95,558
1617,14.28,49,269
1618,51.05,84,704
1619,20.97,51,436
1620,60.89,41,692
1621,72.19,27,660
1622,65.43,36,470
1623,16.7,185,428
1624,31.88,192,765
1625,47.43,33,591
1626,24.44,63,258
1627,23.66,40,383
1628,6.26,77,508
1629,36.56,181,583
1630,28.18,99,249
1631,8.24,68,408
1632,51.44,151,636
1633,27.91,87,403
1634,21.8,63,582
1635,15.86,72,344
1636,10.76,166,333
1637,46.3,179,786
1638,67.52,123,430
1639,50.89,164,483
1640,8.4,74,224
1641,11.29,22,436
1642,20.6,23,479
1643,10.26,87,203
1644,16.76,163,447
1645,16.72,109,584
1646,16.03,75,107
1647,3.78,17,295
1648,77.65,178,392
1649,25.26,80,409
1650,73.73,144,875
1651,9.29,39,501
1652,2.25,48,170
1653,13.87,54,378
1654,67.47,153,564
1655,25.5,13,210
1656,73.63,51,708
1657,68.32,187,628
1658,43.56,25,348
1659,26.65,72,421
1660,25.03,52,166
1661,57.25,100,637
1662,7.12,41,316
1663,13.78,74,508
1664,23.72,20,119
1665,29.93,85,375
1666,39.47,37,718
1667,27.84,92,789
1668,9.93,144,741
1669,36.49,135,557
1670,63.22,131,789
1671,64.79,77,546
1672,3.91,50,253
1673,54.63,135,817
1674,17.23,118,591
1675,25.07,95,257
1676,27.85,145,747
1677,25.83,140,272
1678,74.52,94,322
1679,17.64,27,267
1680,17.91,15,317
1681,64.05,194,833
1682,57.33,96,509
1683,78.04,149,595
1684,16.53,88,201
1685,72.82,130,460
1686,46.24,143,610
1687,12.9,52,208
1688,7.43,90,230
1689,24.45,27,500
1690,3.61,45,252
1691,2.47,56,230
1692,9.33,32,280
1693,29.9,90,842
1694,41.94,56,348
1695,30.08,194,627
1696,17.03,86,254
1697,7.05,46,258
1698,73.31,48,733
1699,60.04,82,759
1700,12.82,25,511
1701,2.64,39,307
1702,30.31,53,921
1703,8.15,31,510
1704,72.18,183,405
1705,22.25,166,704
1706,23.04,98,511
1707,5.09,41,385
1708,4.06,14,236
1709,20.04,84,279
1710,3.38,77,391
1711,11.09,61,255
1712,5.53,16,294
1713,78.3,178,711
1714,23.09,94,452
1715,19.5,62,364
1716,18.96,19,386
1717,18.94,97,204
1718,42.55,35,506
1719,1.68,40,270
1720,9.09,20,220
1721,12.47,90,436
1722,44.27,159,813
1723,14.66,84,295
1724,6.66,56,431
1725,62.4,149,587
1726,69.92,127,614
1727,14.45,59,674
1728,20.54,76,265
1729,16.38,46,519
1730,75.79,68,781
1731,5.41,49,429
1732,25.69,44,464
1733,7.56,69,263
1734,7.77,86,366
1735,53.92,66,831
1736,19.86,31,455
1737,25.63,36,225
1738,29.91,41,264
1739,74.66,187,781
1740,14.49,82,107
1741,3.37,57,330
1742,15.0,75,387
1743,55.46,183,778
1744,41.94,149,334
1745,65.41,48,436
1746,71.78,175,493
1747,47.29,43,671
1748,10.2,97,742
1749,18.43,23,493
1750,73.8,95,516
1751,15.75,55,965
1752,27.0,146,299
1753,29.84,65,352
1754,55.73,183,371
1755,75.94,170,506
1756,8.89,68,499
1757,54.64,123,574
1758,20.85,90,326
1759,17.14,80,231
1760,4.9,53,429
1761,25.11,53,221
1762,10.23,36,282
1763,19.7,87,443
1764,71.84,50,730
1765,11.34,92,163
1766,1.37,96,101
1767,68.84,54,891
1768,43.58,89,699
1769,12.14,75,530
1770,29.68,98,154
1771,12.12,191,879
1772,11.08,186,490
1773,38.31,176,455
1774,26.33,29,332
1775,14.45,67,554
1776,27.93,100,546
1777,20.5,79,325
1778,28.64,198,495
1779,52.43,182,713
1780,17.78,85,318
1781,24.26,186,339
1782,36.95,38,645
1783,3.68,52,425
1784,20.54,66,237
1785,28.06,130,329
1786,24.1,52,364
1787,14.42,61,593
1788,13.1,45,570
1789,17.98,37,458
1790,3.49,92,334
1791,29.29,88,467
1792,22.53,173,629
1793,66.51,57,746
1794,15.45,73,506
1795,23.92,132,309
1796,16.54,118,388
1797,48.73,137,511
1798,11.58,20,430
1799,39.96,172,474
1800,21.35,21,303
1801,75.62,184,690
1802,59.93,140,611
1803,23.23,63,479
1804,77.49,23,297
1805,74.8,26,793
1806,28.04,111,647
1807,46.29,192,343
1808,28.85,130,712
1809,11.96,63,245
1810,30.45,183,237
1811,17.14,49,422
1812,29.93,89,307
1813,75.58,192,749
1814,38.91,198,722
1815,34.05,66,721
1816,38.15,185,406
1817,24.6,16,100
1818,15.15,188,701
1819,40.81,154,613
1820,4.23,61,436
1821,4.68,62,425
1822,17.2,164,448
1823,20.66,23,527
1824,8.15,197,801
1825,48.27,171,733
1826,16.67,52,241
1827,18.19,27,420
1828,9.59,25,355
1829,5.39,68,188
1830,49.68,36,299
1831,28.25,99,375
1832,49.0,151,317
1833,11.01,85,842
1834,73.68,55,293
1835,28.02,20,693
1836,26.38,96,286
1837,18.29,89,513
1838,2.17,95,295
1839,43.72,114,908
1840,1.3,51,111
1841,5.33,21,277
1842,18.92,48,332
1843,70.54,95,487
1844,9.13,71,208
1845,13.76,61,538
1846,4.38,27,170
1847,19.2,185,504
1848,27.26,68,337
1849,66.54,87,852
1850,49.1,132,711
1851,24.19,31,546
1852,24.95,15,401
1853,23.75,66,370
1854,13.01,25,367
1855,16.69,37,511
1856,51.92,28,640
1857,6.36,41,222
1858,50.33,61,697
1859,16.18,83,328
1860,33.04,176,832
1861,5.74,92,230
1862,6.87,88,183
1863,2.48,47,210
1864,76.43,86,693
1865,25.3,141,705
1866,40.58,198,744
1867,1.75,17,203
1868,16.09,76,219
1869,46.84,96,550
1870,3.84,50,148
1871,16.7,53,113
1872,10.58,89,403
1873,39.07,132,666
1874,17.74,173,378
1875,20.74,45,360
1876,9.43,153,854
1877,76.17,37,449
1878,12.08,87,378
1879,10.76,82,588
1880,9.16,75,664
1881,62.45,156,446
1882,18.28,86,608
1883,18.38,89,313
1884,28.65,113,709
1885,22.77,44,384
1886,18.43,130,564
1887,20.65,54,252
1888,29.9,95,444
1889,52.08,166,591
1890,10.42,35,336
1891,25.09,53,469
1892,35.73,138,297
1893,6.25,38,749
1894,24.5,69,376
1895,32.91,47,562
1896,10.1,145,888
1897,28.76,49,475
1898,55.68,145,680
1899,17.49,31,410
1900,52.46,182,454
1901,29.83,81,405
1902,28.53,94,231
1903,27.3,34,327
1904,11.28,73,235
1905,15.03,32,238
1906,31.84,165,730
1907,23.29,168,516
1908,19.91,110,841
1909,21.85,107,880
1910,67.06,198,488
1911,14.72,57,361
1912,57.45,110,470
1913,60.86,76,696
1914,19.68,59,902
1915,14.79,196,742
1916,28.8,136,777
1917,49.95,188,797
1918,9.36,50,442
1919,73.1,57,620
1920,6.8,161,570
1921,28.3,33,358
1922,51.93,135,636
1923,4.64,44,300
1924,19.62,34,519
1925,15.34,98,475
1926,49.77,166,811
1927,37.23,35,443
1928,27.48,10,202
1929,6.24,43,253
1930,19.9,165,453
1931,37.7,64,573
1932,18.1,79,177
1933,67.37,58,701
1934,5.98,39,192
1935,9.22,82,209
1936,12.24,49,378
1937,9.96,35,362
1938,24.95,162,641
1939,17.16,78,357
1940,47.34,165,344
1941,20.69,22,182
1942,79.77,93,781
1943,9.33,17,345
1944,2.43,18,309
1945,5.07,61,613
1946,20.71,160,185
1947,11.34,82,284
1948,15.85,65,304
1949,20.73,59,239
1950,53.42,170,698
1951,9.8,60,525
1952,23.21,98,227
1953,77.42,149,574
1954,22.15,79,501
1955,10.05,91,172
1956,53.39,88,544
1957,5.51,145,708
1958,74.11,147,837
1959,11.74,98,353
1960,23.19,23,417
1961,20.07,16,100
1962,10.84,98,549
1963,15.1,60,101
1964,3.39,89,223
1965,70.66,192,687
1966,25.86,43,362
1967,5.25,33,550
1968,28.41,38,397
1969,29.87,100,862
1970,53.43,45,766
1971,14.0,47,794
1972,6.14,70,396
1973,38.41,195,213
1974,20.8,68,395
1975,70.34,131,684
1976,24.29,10,283
1977,22.52,65,500
1978,19.12,12,343
1979,25.93,10,282
1980,12.12,50,225
1981,67.73,136,870
1982,6.49,46,387
1983,50.32,195,690
1984,78.59,22,771
1985,75.04,118,308
1986,40.16,131,723
1987,11.53,26,406
1988,22.04,32,190
1989,35.58,98,603
1990,77.11,34,598
1991,19.31,17,305
1992,23.66,66,698
1993,14.92,115,740
1994,5.04,22,100
1995,2.63,88,328
1996,10.98,91,604
1997,26.52,40,358
1998,43.08,57,527
1999,29.5,63,470
2000,10.5,108,760
